,name,rating,reviews,description,descriptor,Location,type,places,cafe,bar,spa,lodging,restaurant,food,point_of_interest,establishment,bakery,store,night_club,book_store,tourist_attraction,florist,liquor_store,movie_rental,electronics_store,home_goods_store,movie_theater,gym,health,parking,gas_station,car_wash,convenience_store,car_repair,art_gallery,park,meal_takeaway,meal_delivery,locality,political,general_contractor,police,laundry
74,Naval Museum,4.6,6554,Museo marítimo de Turquía,Museo,Beşiktaş,2,20,20,1,0,0,7,20.0,20,20,2,9,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Istanbul Toy Museum,4.7,6273,Museo,Museo,Kadıköy,6,20,20,1,0,0,5,20.0,20,20,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Historical Galatasaray Bath,3.8,844,Baño turco tradicional,Espacio histórico,Beyoğlu,2,20,20,7,1,5,11,20.0,20,20,0,2,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Galata Mevlevihanesi Müzesi,4.6,3529,Museo con demostraciones de danza sufí,Museo,Beyoğlu,0,20,20,5,0,3,11,20.0,20,20,2,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Iglesia de Santa Irene,4.3,1627,Iglesia bizantina del s. IV convertida en museo,Iglesia,Fatih,0,20,20,2,1,1,12,20.0,20,20,3,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Bósforo,4.8,4375,Estrecho emblemático entre 2 continentes,Espacio natural,Istanbul,1,20,20,1,0,0,2,20.0,20,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Büyükada,4.5,3611,Isla cautivadora con casas históricas,Espacio natural,Büyükada,4,4,4,0,0,0,0,4.0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Borusan Contemporary,4.6,520,"Museo, arte, museo de arte y arte moderno",Museo,Sarıyer,1,20,20,1,0,0,5,20.0,20,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Heybeliada,4.6,842,Pequeña isla deshabitada con un monasterio,Espacio natural,Heybeliada,1,20,20,1,0,0,2,20.0,20,20,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Kınalıada,4.5,332,Playa,Espacio natural,Heybeliada,1,11,11,1,0,1,4,11.0,11,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Burgazada,4.7,450,Playa e iglesia,Espacio natural,Burgazada,4,20,20,1,0,1,5,20.0,20,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Burc Beach,3.9,829,Playa y kitesurf,Espacio natural,Sarıyer,4,1,1,0,0,0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Santa Sofía,4.8,110926,Museo y basílica bizantina con mosaicos,Museo,Fatih,0,20,20,2,1,1,12,20.0,20,20,3,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Palacio de Dolmabahçe,4.7,62012,Museo en un palacio de sultanes otomanos,Museo,Beşiktaş,1,20,20,0,1,1,5,20.0,20,20,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Sadberk Hanım Museum,4.7,692,"Museo, arquitectura y arte",Museo,Sarıyer,1,20,20,0,0,0,3,20.0,20,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Miniaturk,4.6,29222,Parque con miniaturas de monumentos de Turquía,Parque,Beyoğlu,0,20,20,2,0,1,3,20.0,20,20,2,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
90,Iglesia de San Salvador de Cora,4.4,6014,Museo con obras musulmanas y cristianas,Iglesia,Fatih,1,20,20,0,0,0,1,20.0,20,20,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Museo de Historia Panorama 1453,4.6,11438,Cuadro panorámico sobre un asedio histórico,Museo,Zeytinburnu,0,20,20,0,0,0,5,20.0,20,20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
92,Sabancı University Sakıp Sabancı Museum,4.7,4180,Museo de bellas artes en una mansión histórica,Museo,Sarıyer,0,20,20,0,0,0,9,20.0,20,20,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Cisterna de Basílica,4.6,39041,Cisterna reformada del año 542,Espacio histórico,Fatih,2,20,20,2,1,1,11,20.0,20,20,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Museo de la inocencia,4.5,2019,Casa museo sobre una novela,Museo,Beyoğlu,2,20,20,7,0,3,9,20.0,20,20,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Rahmi M. Koç Museum,4.8,20887,Museo de aparatos industriales y coches,Museo,Beyoğlu,5,20,20,0,0,0,2,20.0,20,20,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96,Museo de Arte Turco e Islámico,4.6,3461,Palacio con arte turco e islámico,Museo,Fatih,1,20,20,2,1,1,11,20.0,20,20,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Palacio de Topkapi,4.7,78379,Histórico complejo palaciego otomano,Espacio histórico,Fatih,1,20,20,2,1,1,14,20.0,20,20,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Museo arqueológico de Estambul,4.6,13443,Museo de arqueología de Turquía,Museo,Fatih,0,20,20,2,1,1,13,20.0,20,20,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Pera Museum,4.6,4767,"Museo con cuadros, cerámica y arte moderno",Museo,Beyoğlu,1,20,20,7,0,3,8,20.0,20,20,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
